 80   6   9	 58  31  25	
 80   6   9	 40  44  31	
 41  24  18	 40  36  30	
 82   2   4	 33  36  21	
 82   3   3	 34  35  23	
 34  35  23	 33  36  21	
 34  35  23	 40  44  31	
 34  35  23	 83   3   1	
 34  35  23	 87   1   2	
 34  35  23	 59  42  41	
 34  35  23	 75   4  21	
 34  35  23	 77  10  18	
 34  35  23	 79  11   7	
 34  35  23	 83   4   1	
 34  35  23	 48  31  16	
 34  35  23	 36  51  36	
 34  35  23	 48  54  50	
 34  35  23	 77   6  -0	
 34  35  23	 76   7   5	
 40  36  30	 40  44  31	
 40  36  30	 71  12  11	
 65  22  24	 69   2  19	
 65  22  24	 78   6   2	
 65  22  24	 30  37  21	
 64  27  21	 33  36  21	
 64  27  21	 83   3   1	
 58  31  25	 40  44  31	
 33  36  21	 83   3   1	
 40  44  31	 71  12  11	
 40  44  31	 37  36  29	
 40  44  31	 81   6   5	
 40  44  31	 72  17  12	
 69   2  19	 30  37  21	
 69   2  19	 22   2   0	
 83   3   1	 56  36  19	
 83   3   1	 51  44  39	
 71  12  11	 37  36  29	
 56  36  19	 81   3   1	
 81   3   1	 78   6   2	
 81   3   1	 51  44  39	
 78   6   2	 51  44  39	
 78   6   2	 30  37  21	
 78   6   2	 29  34  22	
 51  44  39	 75   9   2	
 51  44  39	 29  34  22	
 72  17  12	 78   7  28	
 72  17  12	 77  10  18	
 30  37  21	 29  34  22	
 75   9   2	 29  34  22	
 75   9   2	 64  28  15	
 29  34  22	 22   2   0	
 29  34  22	 12   5   4	
 29  34  22	 32   2   1	
 59  42  41	 75   4  21	
 59  42  41	 64  28  15	
 22   2   0	 12   5   4	
 75   4  21	 64  28  15	
 75   4  21	 73  12  27	
 75   4  21	 83   4   1	
 75   4  21	 32   2   1	
 78   7  28	 77  10  18	
 78   7  28	 78   6  24	
 78   7  28	 72  17  36	
 78   7  28	 64  28  41	
 78   7  28	 77   3  24	
 78   7  28	 77   4  28	
 77  10  18	 79  11   7	
 77  10  18	 78   6  24	
 77  10  18	 42  46  22	
 12   5   4	 32   2   1	
 12   5   4	 34  33  16	
 12   5   4	 74  13   1	
 12   5   4	 49  27  10	
 12   5   4	 46  15  -5	
 78   6  24	 61  32  30	
 78   6  24	 64  28  41	
